Japanese,English,Source
JA伊都菜彩前,JA Ito Na Sai Mae,Auto-translated
JA塩田支所前,JA Shioda Branch Office Mae,Auto-translated
JA西部支店前,JA Seibu Branch Mae,Auto-translated
WILLERバスターミナル大阪梅田,WILLER Bus Terminal Oosakaumeda,Auto-translated
あさひが丘入口,Asahiga Oka Entrance,Auto-translated
あさひが丘入口(1),Asahiga Oka Entrance (1),Auto-translated
あさひが丘入口(2),Asahiga Oka Entrance (2),Auto-translated
うえむら病院前,Uemura Hospital,Mapped
うれしの特別支援学校前,Ureshino Tokubetsu Shien Gakkou Mae,Auto-translated
お茶の水,O Cha No Mizu,Auto-translated
かささぎの里前,Kasasagino Sato Mae,Auto-translated
かささぎの里前(1),Kasasagino Sato Mae (1),Auto-translated
かささぎの里前(2),Kasasagino Sato Mae (2),Auto-translated
きゅうらぎ温泉,Kyuuragi Onsen,Auto-translated
きららの湯,Kirarano Yu,Auto-translated
きりんむら,Kirinmura,Auto-translated
きりんむら(1),Kirinmura (1),Auto-translated
きりんむら(2),Kirinmura (2),Auto-translated
くぼた特産物直売所前,Kubota Tokusanbutsu Chokubai Tokoro Mae,Auto-translated
くぼた特産物直売所前(1),Kubota Tokusanbutsu Chokubai Tokoro Mae (1),Auto-translated
くぼた特産物直売所前(2),Kubota Tokusanbutsu Chokubai Tokoro Mae (2),Auto-translated
ざうお本店前,Zauo Honten Mae,Auto-translated
ざうお本店前(1),Zauo Honten Mae (1),Auto-translated
ざうお本店前(2),Zauo Honten Mae (2),Auto-translated
しめご橋,Shimego Hashi,Auto-translated
しめご橋(1),Shimego Hashi (1),Auto-translated
しめご橋(2),Shimego Hashi (2),Auto-translated
せとぐち内科前,Setoguchi Naika Mae,Auto-translated
たろう保育園前,Tarou Hoikuen Mae,Auto-translated
たろう保育園前(1),Tarou Hoikuen Mae (1),Auto-translated
たろう保育園前(2),Tarou Hoikuen Mae (2),Auto-translated
ちやの木,Chiyano Ki,Auto-translated
ちやの木(1),Chiyano Ki (1),Auto-translated
ちやの木(2),Chiyano Ki (2),Auto-translated
つつじケ丘団地,Tsutsuji Ke Oka Danchi,Auto-translated
つまんでご卵,Tsumandego Tamago,Auto-translated
つまんでご卵(1),Tsumandego Tamago (1),Auto-translated
つまんでご卵(2),Tsumandego Tamago (2),Auto-translated
どんとこい前,Dontokoi Mae,Auto-translated
どんとこい前(1),Dontokoi Mae (1),Auto-translated
どんとこい前(2),Dontokoi Mae (2),Auto-translated
どんどんどんの森前,Dondondonno Mori Mae,Auto-translated
どんどんどんの森前(1),Dondondonno Mori Mae (1),Auto-translated
どんどんどんの森前(2),Dondondonno Mori Mae (2),Auto-translated
どんどんどんの森東,Dondondonno Mori East,Auto-translated
どんどんどんの森東(1),Dondondonno Mori East (1),Auto-translated
どんどんどんの森東(2),Dondondonno Mori East (2),Auto-translated
どんどんどんの森東(3),Dondondonno Mori East (3),Auto-translated
どんどんどんの森東(4),Dondondonno Mori East (4),Auto-translated
なゆたの森病院前,Nayutano Mori Byouin Mae,Auto-translated
なゆたの森病院前(1),Nayutano Mori Byouin Mae (1),Auto-translated
なゆたの森病院前(2),Nayutano Mori Byouin Mae (2),Auto-translated
ひばりヶ丘,Hibari Ke Oka,Auto-translated
ひばりヶ丘(1),Hibari Ke Oka (1),Auto-translated
ひばりヶ丘(2),Hibari Ke Oka (2),Auto-translated
ひばりヶ丘(3),Hibari Ke Oka (3),Auto-translated
ひらまつ病院,Hiramatsu Byouin,Auto-translated
ほほえみ館前,Hohoemi Tate Mae,Auto-translated
ほほえみ館前(1),Hohoemi Tate Mae (1),Auto-translated
ほほえみ館前(2),Hohoemi Tate Mae (2),Auto-translated
ぼたんと緑の丘入口,Botanto Midori No Oka Entrance,Auto-translated
ぼたんと緑の丘入口(1),Botanto Midori No Oka Entrance (1),Auto-translated
ぼたんと緑の丘入口(2),Botanto Midori No Oka Entrance (2),Auto-translated
ぽかぽか温泉前,Pokapoka Onsen Mae,Auto-translated
ぽかぽか温泉前(1),Pokapoka Onsen Mae (1),Auto-translated
ぽかぽか温泉前(2),Pokapoka Onsen Mae (2),Auto-translated
まいづるCARROT店,Maizuru CARROT Mise,Auto-translated
まいづるCARROT店(1),Maizuru CARROT Mise (1),Auto-translated
まいづるCARROT店(2),Maizuru CARROT Mise (2),Auto-translated
まいづる９９９前,Maizuru 999 Mae,Auto-translated
まいづる９９９前(1),Maizuru 999 Mae (1),Auto-translated
まいづる９９９前(2),Maizuru 999 Mae (2),Auto-translated
みなと園,Minato Sono,Auto-translated
めぐみ町,Megumi Machi,Auto-translated
めぐみ町(1),Megumi Machi (1),Auto-translated
めぐみ町(2),Megumi Machi (2),Auto-translated
やまびこの湯,Yamabikono Yu,Auto-translated
ゆめタウン佐賀,Youme Town Saga,Mapped
ゆめタウン武雄（武雄市図書館）,Yume Taun Takeo ( Takeo Shi Toshokan),Auto-translated
ゆめタウン武雄（武雄市図書館）(1),Yume Taun Takeo ( Takeo Shi Toshokan)(1),Auto-translated
ゆめタウン武雄（武雄市図書館）(2),Yume Taun Takeo ( Takeo Shi Toshokan)(2),Auto-translated
アクロスプラザ,Akurosupuraza,Auto-translated
アルタ開成店東,Aruta Kaisei Mise East,Auto-translated
アルタ開成店東(1),Aruta Kaisei Mise East (1),Auto-translated
アルタ開成店東(2),Aruta Kaisei Mise East (2),Auto-translated
アルタ高木瀬店前,Aruta Takakise Mise Mae,Auto-translated
アルタ高木瀬店前(3),Aruta Takakise Mise Mae (3),Auto-translated
アルタ高木瀬店前(4),Aruta Takakise Mise Mae (4),Auto-translated
アルピノ前,Arupino Mae,Auto-translated
アルピノ前(1),Arupino Mae (1),Auto-translated
アルピノ前(2),Arupino Mae (2),Auto-translated
イオンモール佐賀大和,Aeon Mall Saga Yamato,Mapped
イオンモール佐賀大和(1),Ionmooru Sagadai Wa (1),Auto-translated
イオンモール佐賀大和(2),Ionmooru Sagadai Wa (2),Auto-translated
イオン唐津店,Ion Karatsu Mise,Auto-translated
イオン江北店,Ion Kouhoku Mise,Auto-translated
イオン糸島店,Ion Ito Shima Mise,Auto-translated
エスプラッツ前,Esupurattsu Mae,Auto-translated
エスプラッツ前(1),Esupurattsu Mae (1),Auto-translated
エスプラッツ前(2),Esupurattsu Mae (2),Auto-translated
エレナ,Erena,Auto-translated
クレオパーク鍋島,Creo Park Nabeshima,Mapped
クレオパーク鍋島(1),Kureopaaku Nabeshima (1),Auto-translated
クレオパーク鍋島北,Kureopaaku Nabeshima North,Auto-translated
クレオパーク鍋島北(1),Kureopaaku Nabeshima North (1),Auto-translated
グラスコート佐賀,Gurasukooto Saga,Auto-translated
グラスコート佐賀(1),Gurasukooto Saga (1),Auto-translated
グラスコート佐賀(2),Gurasukooto Saga (2),Auto-translated
グリコ佐賀工場前,Guriko Saga Koujou Mae,Auto-translated
グリコ佐賀工場前(1),Guriko Saga Koujou Mae (1),Auto-translated
グリコ佐賀工場前(2),Guriko Saga Koujou Mae (2),Auto-translated
ゲートウェイ,Geetouei,Auto-translated
ゲートウェイ(1),Geetouei (1),Auto-translated
ゲートウェイ(2),Geetouei (2),Auto-translated
コロニー入口,Koronii Entrance,Auto-translated
サガテレビ前,Sagaterebi Mae,Auto-translated
サガテレビ前(1),Sagaterebi Mae (1),Auto-translated
サガテレビ前(2),Sagaterebi Mae (2),Auto-translated
サンテ溝上病院前,Sante Mizokami Byouin Mae,Auto-translated
サンテ溝上病院前(1),Sante Mizokami Byouin Mae (1),Auto-translated
サンテ溝上病院前(2),Sante Mizokami Byouin Mae (2),Auto-translated
シーサイド前,Shiisaido Mae,Auto-translated
シーサイド前(1),Shiisaido Mae (1),Auto-translated
シーサイド前(2),Shiisaido Mae (2),Auto-translated
ドラモリ・コメリ前,Doramori.komeri Mae,Auto-translated
ドラモリ・コメリ前(1),Doramori.komeri Mae (1),Auto-translated
ドラモリ・コメリ前(2),Doramori.komeri Mae (2),Auto-translated
バスステーション広島駅北口,Basusuteeshon Hiroshima Station Kitaguchi,Auto-translated
フォレスタふじ前,Foresuta Fuji Mae,Auto-translated
フォレスタふじ前(2),Foresuta Fuji Mae (2),Auto-translated
ブルースタジアム前,Buruusutajiamu Mae,Auto-translated
ブルースタジアム前(1),Buruusutajiamu Mae (1),Auto-translated
ブルースタジアム前(2),Buruusutajiamu Mae (2),Auto-translated
ホームセンターユートク,Hoomusentaayuutoku,Auto-translated
ホームセンターユートク(1),Hoomusentaayuutoku (1),Auto-translated
ホームセンターユートク(2),Hoomusentaayuutoku (2),Auto-translated
マルキョウ前,Marukyou Mae,Auto-translated
マルキョウ前(2),Marukyou Mae (2),Auto-translated
